Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2007-01-02,4.78000020980835,5.139999866485596,4.670000076293945,4.949999809265137,4.04902458190918,819762805,0.0,0.0
2007-01-03,4.860000133514404,4.929999828338623,4.650000095367432,4.710000038146973,3.852708339691162,598322462,0.0,0.0
2007-01-04,4.679999828338623,4.849999904632568,4.46999979019165,4.769999980926514,3.9017856121063232,501825359,0.0,0.0
2007-01-05,4.75,4.96999979019165,4.650000095367432,4.929999828338623,4.032662868499756,431459834,0.0,0.0
2007-01-08,4.940000057220459,4.96999979019165,4.739999771118164,4.849999904632568,3.967224597930908,428372841,0.0,0.0
2007-01-09,4.820000171661377,4.929999828338623,4.699999809265137,4.760000228881836,3.893605947494507,397752700,0.0,0.0
2007-01-10,4.679999828338623,4.769999980926514,4.460000038146973,4.489999771118164,3.67275071144104,381521936,0.0,0.0
2007-01-11,4.460000038146973,4.710000038146973,4.400000095367432,4.699999809265137,3.844527244567871,343109981,0.0,0.0
2007-01-12,4.739999771118164,4.849999904632568,4.630000114440918,4.699999809265137,3.844527244567871,343024724,0.0,0.0
2007-01-15,4.699999809265137,4.739999771118164,4.449999809265137,4.639999866485596,3.7954485416412354,385307283,0.0,0.0
2007-01-16,4.619999885559082,4.659999847412109,4.429999828338623,4.539999961853027,3.7136502265930176,318664091,0.0,0.0
2007-01-17,4.539999961853027,4.639999866485596,4.510000228881836,4.630000114440918,3.787268877029419,349343503,0.0,0.0
2007-01-18,4.690000057220459,4.960000038146973,4.679999828338623,4.949999809265137,4.04902458190918,606463558,0.0,0.0
2007-01-19,4.989999771118164,5.019999980926514,4.699999809265137,4.849999904632568,3.967224597930908,459570968,0.0,0.0
2007-01-22,4.840000152587891,4.949999809265137,4.71999979019165,4.829999923706055,3.950865507125856,422397874,0.0,0.0
2007-01-23,4.769999980926514,4.809999942779541,4.559999942779541,4.590000152587891,3.754549503326416,383801868,0.0,0.0
2007-01-24,4.5,4.639999866485596,4.340000152587891,4.550000190734863,3.721829891204834,395057646,0.0,0.0
2007-01-25,4.699999809265137,5.010000228881836,4.699999809265137,5.010000228881836,4.098103046417236,673298418,0.0,0.0
2007-01-26,5.269999980926514,5.340000152587891,5.0,5.079999923706055,4.155361175537109,852689464,0.0,0.0
2007-01-29,5.079999923706055,5.079999923706055,4.579999923706055,4.610000133514404,3.7709085941314697,620609878,0.0,0.0
2007-01-30,4.579999923706055,4.920000076293945,4.510000228881836,4.849999904632568,3.967224597930908,484429064,0.0,0.0
2007-01-31,4.809999942779541,4.809999942779541,4.550000190734863,4.650000095367432,3.8036279678344727,321680377,0.0,0.0
2007-02-01,4.599999904632568,4.739999771118164,4.5,4.53000020980835,3.705470561981201,252367138,0.0,0.0
2007-02-02,4.550000190734863,4.650000095367432,4.349999904632568,4.630000114440918,3.787268877029419,452018545,0.0,0.0
2007-02-05,4.690000057220459,4.739999771118164,4.550000190734863,4.659999847412109,3.8118081092834473,371216498,0.0,0.0
2007-02-06,4.659999847412109,4.670000076293945,4.5,4.599999904632568,3.762728691101074,232518382,0.0,0.0
