Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2007-01-02,142.8310089111328,144.8582763671875,142.8310089111328,144.48968505859375,144.48968505859375,673,0.0,0.0
2007-01-03,142.8310089111328,146.88555908203125,142.8310089111328,146.88555908203125,146.88555908203125,1390,0.0,0.0
2007-01-04,143.0767364501953,143.0767364501953,141.84808349609375,142.27810668945312,142.27810668945312,716,0.0,0.0
2007-01-05,144.8582763671875,145.9026336669922,141.84808349609375,141.84808349609375,141.84808349609375,504,0.0,0.0
2007-01-08,144.8582763671875,144.8582763671875,143.44532775878906,144.8582763671875,144.8582763671875,162,0.0,0.0
2007-01-09,144.8582763671875,152.9059600830078,140.43511962890625,140.6194305419922,140.6194305419922,1903,0.0,0.0
2007-01-10,140.8651580810547,144.48968505859375,140.8651580810547,144.48968505859375,144.48968505859375,1855,0.0,0.0
2007-01-11,142.8310089111328,144.48968505859375,142.8310089111328,144.48968505859375,144.48968505859375,602,0.0,0.0
2007-01-12,143.87535095214844,143.87535095214844,141.04945373535156,141.84808349609375,141.84808349609375,397,0.0,0.0
2007-01-15,143.69105529785156,143.69105529785156,140.8651580810547,142.8310089111328,142.8310089111328,882,0.0,0.0
2007-01-16,142.8310089111328,150.5100860595703,142.8310089111328,145.10400390625,145.10400390625,2164,0.0,0.0
2007-01-17,144.8582763671875,147.8684844970703,143.87535095214844,145.28831481933594,145.28831481933594,325,0.0,0.0
2007-01-18,144.8582763671875,145.28831481933594,143.0767364501953,143.0767364501953,143.0767364501953,227,0.0,0.0
2007-01-19,147.68418884277344,152.9059600830078,144.8582763671875,152.72166442871094,152.72166442871094,4424,0.0,0.0
2007-01-22,152.72166442871094,158.55776977539062,150.94012451171875,154.31890869140625,154.31890869140625,2084,0.0,0.0
2007-01-23,150.94012451171875,154.93324279785156,149.89576721191406,151.92303466796875,151.92303466796875,717,0.0,0.0
2007-01-24,150.94012451171875,152.9059600830078,148.912841796875,152.9059600830078,152.9059600830078,1562,0.0,0.0
2007-01-25,149.28143310546875,149.28143310546875,147.31558227539062,147.31558227539062,147.31558227539062,818,0.0,0.0
2007-01-26,147.31558227539062,148.912841796875,143.87535095214844,148.6671142578125,148.6671142578125,1337,0.0,0.0
2007-01-29,148.912841796875,150.5100860595703,144.8582763671875,147.68418884277344,147.68418884277344,765,0.0,0.0
2007-01-30,145.28831481933594,146.88555908203125,145.10400390625,146.88555908203125,146.88555908203125,130,0.0,0.0
2007-01-31,148.912841796875,148.912841796875,145.28831481933594,147.68418884277344,147.68418884277344,995,0.0,0.0
2007-02-01,146.88555908203125,147.8684844970703,146.45553588867188,147.8684844970703,147.8684844970703,244,0.0,0.0
2007-02-02,147.8684844970703,149.52716064453125,147.8684844970703,148.912841796875,148.912841796875,358,0.0,0.0
2007-02-05,147.06985473632812,150.08006286621094,147.06985473632812,150.08006286621094,150.08006286621094,3239,0.0,0.0
2007-02-06,150.32579040527344,156.53048706054688,150.32579040527344,153.9503173828125,153.9503173828125,1175,0.0,0.0
2007-02-07,154.93324279785156,154.93324279785156,152.9059600830078,153.9503173828125,153.9503173828125,769,0.0,0.0
2007-02-08,156.9605255126953,162.98092651367188,156.9605255126953,159.3563995361328,159.3563995361328,4295,0.0,0.0
2007-02-09,162.36659240722656,165.99111938476562,161.3836669921875,162.98092651367188,162.98092651367188,2457,0.0,0.0
2007-02-12,165.1925048828125,169.00132751464844,165.00820922851562,167.8341064453125,167.8341064453125,1338,0.0,0.0
2007-02-13,167.0354766845703,169.24705505371094,165.37680053710938,167.40408325195312,167.40408325195312,2443,0.0,0.0
2007-02-14,165.00820922851562,167.0354766845703,162.98092651367188,167.0354766845703,167.0354766845703,1684,0.0,0.0
2007-02-15,169.24705505371094,171.0286102294922,167.0354766845703,167.0354766845703,167.0354766845703,3001,0.0,0.0
2007-02-16,164.3938751220703,171.21290588378906,153.70458984375,159.5406951904297,159.5406951904297,7686,0.0,0.0
2007-02-19,158.98779296875,165.99111938476562,149.28143310546875,160.95364379882812,160.95364379882812,8117,0.0,0.0
2007-02-20,164.20957946777344,166.60545349121094,156.16189575195312,161.9980010986328,161.9980010986328,4388,0.0,0.0
2007-02-21,160.95364379882812,160.95364379882812,155.91616821289062,160.76934814453125,160.76934814453125,1204,0.0,0.0
2007-02-22,160.76934814453125,160.76934814453125,160.76934814453125,160.76934814453125,160.76934814453125,146,0.0,0.0
2007-02-23,160.58505249023438,160.58505249023438,148.6671142578125,156.9605255126953,156.9605255126953,4821,0.0,0.0
2007-02-26,156.9605255126953,158.98779296875,156.9605255126953,157.9434356689453,157.9434356689453,260,0.0,0.0
2007-02-27,154.93324279785156,154.93324279785156,148.48280334472656,152.9059600830078,152.9059600830078,1212,0.0,0.0
2007-02-28,141.04945373535156,150.94012451171875,140.8651580810547,150.5100860595703,150.5100860595703,1644,0.0,0.0
2007-03-01,148.912841796875,165.00820922851562,141.04945373535156,145.6569061279297,145.6569061279297,2593,0.0,0.0
2007-03-02,143.0767364501953,146.27122497558594,142.8310089111328,146.27122497558594,146.27122497558594,667,0.0,0.0
2007-03-05,145.9026336669922,145.9026336669922,135.8276824951172,139.2678985595703,139.2678985595703,2225,0.0,0.0
2007-03-06,141.23374938964844,141.84808349609375,136.8105926513672,138.40785217285156,138.40785217285156,1945,0.0,0.0
2007-03-07,138.40785217285156,140.8651580810547,137.85494995117188,138.83787536621094,138.83787536621094,1642,0.0,0.0
2007-03-08,141.23374938964844,142.8310089111328,140.8651580810547,142.8310089111328,142.8310089111328,1530,0.0,0.0
2007-03-09,142.27810668945312,144.48968505859375,140.0665283203125,144.48968505859375,144.48968505859375,227,0.0,0.0
2007-03-12,141.04945373535156,148.6671142578125,140.8651580810547,145.9026336669922,145.9026336669922,423,0.0,0.0
2007-03-13,146.70126342773438,153.9503173828125,146.70126342773438,150.5100860595703,150.5100860595703,1578,0.0,0.0
2007-03-14,147.8684844970703,147.8684844970703,143.87535095214844,146.88555908203125,146.88555908203125,455,0.0,0.0
2007-03-15,142.8310089111328,146.27122497558594,142.8310089111328,146.27122497558594,146.27122497558594,553,0.0,0.0
2007-03-16,147.8684844970703,150.94012451171875,142.03237915039062,147.8684844970703,147.8684844970703,1106,0.0,0.0
2007-03-19,150.6943817138672,150.6943817138672,143.87535095214844,148.6671142578125,148.6671142578125,472,0.0,0.0
2007-03-20,146.88555908203125,149.71145629882812,144.8582763671875,149.71145629882812,149.71145629882812,683,0.0,0.0
2007-03-21,148.912841796875,149.09713745117188,144.8582763671875,149.09713745117188,149.09713745117188,1155,0.0,0.0
2007-03-22,145.9026336669922,149.09713745117188,145.28831481933594,146.70126342773438,146.70126342773438,1123,0.0,0.0
2007-03-23,146.70126342773438,147.68418884277344,142.64669799804688,145.9026336669922,145.9026336669922,1204,0.0,0.0
2007-03-26,143.0767364501953,144.8582763671875,140.8651580810547,144.67398071289062,144.67398071289062,911,0.0,0.0
2007-03-27,141.84808349609375,143.87535095214844,138.40785217285156,143.87535095214844,143.87535095214844,1233,0.0,0.0
2007-03-28,142.8310089111328,142.8310089111328,141.47947692871094,142.8310089111328,142.8310089111328,146,0.0,0.0
2007-03-29,140.8651580810547,142.64669799804688,140.8651580810547,141.84808349609375,141.84808349609375,944,0.0,0.0
2007-03-30,142.03237915039062,142.03237915039062,138.65357971191406,140.8651580810547,140.8651580810547,487,0.0,0.0
2007-04-02,140.6194305419922,142.8310089111328,140.6194305419922,142.8310089111328,142.8310089111328,340,0.0,0.0
2007-04-03,142.8310089111328,143.87535095214844,141.23374938964844,143.0767364501953,143.0767364501953,341,0.0,0.0
2007-04-04,144.67398071289062,144.67398071289062,144.67398071289062,144.67398071289062,144.67398071289062,846,0.0,0.0
2007-04-10,143.69105529785156,144.67398071289062,140.8651580810547,142.64669799804688,142.64669799804688,683,0.0,0.0
2007-04-11,141.84808349609375,141.84808349609375,140.8651580810547,141.04945373535156,141.04945373535156,716,0.0,0.0
2007-04-12,138.83787536621094,140.0665283203125,137.4249267578125,138.83787536621094,138.83787536621094,719,0.0,0.0
2007-04-13,140.6194305419922,142.8310089111328,139.82080078125,141.04945373535156,141.04945373535156,1106,0.0,0.0
2007-04-16,144.67398071289062,154.93324279785156,144.67398071289062,147.06985473632812,147.06985473632812,3960,0.0,0.0
2007-04-17,148.6671142578125,148.6671142578125,144.48968505859375,146.88555908203125,146.88555908203125,1074,0.0,0.0
2007-04-18,144.8582763671875,146.70126342773438,143.69105529785156,146.70126342773438,146.70126342773438,293,0.0,0.0
2007-04-19,146.45553588867188,146.45553588867188,141.23374938964844,144.24395751953125,144.24395751953125,1562,0.0,0.0
2007-04-20,142.8310089111328,144.05966186523438,142.27810668945312,142.27810668945312,142.27810668945312,239,0.0,0.0
2007-04-23,142.8310089111328,144.05966186523438,141.23374938964844,143.87535095214844,143.87535095214844,879,0.0,0.0
2007-04-24,141.23374938964844,146.88555908203125,141.23374938964844,142.8310089111328,142.8310089111328,1758,0.0,0.0
2007-04-25,144.8582763671875,146.27122497558594,141.47947692871094,143.0767364501953,143.0767364501953,765,0.0,0.0
2007-04-26,144.05966186523438,144.05966186523438,141.04945373535156,141.23374938964844,141.23374938964844,227,0.0,0.0
2007-04-27,141.47947692871094,142.64669799804688,140.8651580810547,142.64669799804688,142.64669799804688,602,0.0,0.0
2007-04-30,136.8105926513672,140.6194305419922,133.61610412597656,137.85494995117188,137.85494995117188,7227,0.0,0.0
2007-05-02,134.7833251953125,135.8276824951172,133.61610412597656,135.21334838867188,135.21334838867188,2083,0.0,0.0
2007-05-03,135.21334838867188,135.21334838867188,133.18606567382812,133.80039978027344,133.80039978027344,846,0.0,0.0
2007-05-04,133.80039978027344,134.7833251953125,133.43179321289062,133.80039978027344,133.80039978027344,1204,0.0,0.0
2007-05-07,132.81747436523438,133.80039978027344,130.9744873046875,132.57174682617188,132.57174682617188,976,0.0,0.0
2007-05-08,131.22023010253906,132.387451171875,129.80726623535156,131.7731170654297,131.7731170654297,1481,0.0,0.0
2007-05-09,132.20314025878906,132.20314025878906,128.39431762695312,130.79019165039062,130.79019165039062,1041,0.0,0.0
2007-05-10,128.76290893554688,129.80726623535156,126.98136901855467,128.76290893554688,128.76290893554688,1709,0.0,0.0
2007-05-11,127.16566467285156,128.39431762695312,123.72543334960938,126.1827392578125,126.1827392578125,2295,0.0,0.0
2007-05-14,124.76979064941406,125.56841278076172,123.72543334960938,125.56841278076172,125.56841278076172,848,0.0,0.0
2007-05-15,129.56153869628906,129.56153869628906,124.76979064941406,126.1827392578125,126.1827392578125,927,0.0,0.0
2007-05-16,127.59569549560548,127.59569549560548,124.95408630371094,125.75271606445312,125.75271606445312,1351,0.0,0.0
2007-05-18,125.75271606445312,126.73563385009766,124.52406311035156,124.76979064941406,124.76979064941406,1139,0.0,0.0
2007-05-21,124.76979064941406,124.76979064941406,122.74251556396484,124.76979064941406,124.76979064941406,2344,0.0,0.0
2007-05-22,124.76979064941406,124.76979064941406,122.74251556396484,123.72543334960938,123.72543334960938,862,0.0,0.0
2007-05-23,123.72543334960938,124.76979064941406,123.72543334960938,124.76979064941406,124.76979064941406,1334,0.0,0.0
2007-05-24,126.73563385009766,126.73563385009766,124.76979064941406,124.76979064941406,124.76979064941406,984,0.0,0.0
2007-05-25,123.72543334960938,123.9711685180664,121.75959014892578,123.5411376953125,123.5411376953125,636,0.0,0.0
2007-05-29,123.5411376953125,124.76979064941406,122.74251556396484,122.92681121826172,122.92681121826172,1888,0.0,0.0
2007-05-30,122.92681121826172,122.92681121826172,122.92681121826172,122.92681121826172,122.92681121826172,0,0.0,0.0
2007-05-31,124.52406311035156,124.52406311035156,123.17253875732422,123.17253875732422,123.17253875732422,944,0.0,0.0
2007-06-01,123.72543334960938,124.76979064941406,121.32955932617188,121.32955932617188,121.32955932617188,1334,0.0,0.0
2007-06-04,121.32955932617188,122.74251556396484,120.7152328491211,122.74251556396484,122.74251556396484,374,0.0,0.0
